,Azcapotzalco,Coyoacan,Cuajimalpa de Morelos,Gustavo A. Madero,Iztacalco,Iztapalapa,La Magdalena Contreras,Milpa Alta,Alvaro Obregon,Tlahuac,Tlalpan,Xochimilco,Benito Juarez,Cuauhtemoc,Miguel Hidalgo,Venustiano Carranza,Tizayuca,Apaxco,Atizapan de Zaragoza,Coacalco de Berriozabal,Cuautitlan,Chalco,Chicoloapan,Chimalhuacan,Ecatepec de Morelos,Huehuetoca,Huixquilucan,Ixtapaluca,Jaltenco,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,La Paz,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tlalnepantla de Baz,Tultepec,Tultitlan,Zumpango,Cuautitlan Izcalli,Valle de Chalco Solidaridad
Nicolas Romero,8373,1332,871,5294,167,350,144,0,970,77,1165,828,976,7290,11648,1184,1076,0,67528,82,2578,0,0,0,896,0,536,72,223,27473,728,456456,0,0,0,0,0,0,5720,0,0,25469,57,1497,189,25282,0
Ozumba,64,277,0,204,0,967,0,0,90,162,0,0,750,1223,64,1011,0,0,0,0,0,7708,0,0,0,0,0,1981,0,0,255,0,203435,216,0,5522,0,0,0,0,0,95,0,0,0,0,850
La Paz,3712,4593,889,3977,8234,44091,860,0,989,2047,3996,753,9221,19603,6367,12578,164,0,91,0,0,3115,16593,24589,1311,0,147,17925,0,2437,37722,0,216,408186,169,622,0,85,115,4506,202,1395,141,237,0,490,4585
Tecamac,4889,3715,348,15361,2431,4898,331,0,1906,125,611,180,5010,22309,14480,5063,19616,1888,339,3675,1071,116,0,477,79761,768,151,113,1022,2036,2395,0,0,140,591498,0,0,8477,101,2144,1354,3899,1128,3192,26388,1254,373
Temamatla,148,1476,0,410,1017,2561,249,1585,800,1973,400,0,1369,2472,967,2119,0,0,160,93,0,34647,90,815,61,0,0,4678,0,398,801,0,5858,622,0,108778,0,0,0,161,0,0,0,0,0,0,1664
Teoloyucan,1064,112,74,431,0,0,96,0,92,0,212,0,0,1775,582,111,0,41,75,0,13202,0,0,0,488,6431,0,0,0,1102,0,0,0,0,0,0,109407,0,9213,270,0,1322,626,3819,1303,3729,121
Teotihuacan,1428,796,206,6034,646,1303,0,0,0,0,320,127,314,3119,1199,0,5384,0,320,57,236,0,0,90,13864,188,0,0,0,47,534,0,122,69,9787,0,0,328952,0,16222,6075,103,252,393,504,937,0
Tepotzotlan,1585,373,47,1243,109,75,0,0,127,0,555,0,139,2065,993,0,57,0,1396,160,16397,0,144,280,1023,1800,0,0,364,1865,0,5674,0,0,190,0,8558,0,188507,0,0,2905,1135,3093,1061,21127,0
Texcoco,711,1394,69,3329,1248,5602,1118,146,268,1022,1228,399,901,6670,1074,3484,515,0,533,884,291,614,31233,9148,17739,36,123,2119,686,289,6129,92,0,4807,2410,161,270,16479,0,634205,35195,687,296,59,496,218,214
Tezoyuca,743,410,208,1259,165,447,0,0,439,0,169,0,200,3207,185,1296,114,0,92,409,215,0,865,749,26692,0,0,162,220,138,1962,0,72,202,1354,0,0,5320,0,34889,139577,431,0,334,72,0,0
Tlalnepantla de Baz,54112,9598,2648,101305,2438,3542,1976,211,4377,691,4815,1358,10288,47451,32552,7079,1521,295,95671,12485,13570,812,516,986,46636,3801,820,712,4047,71122,3617,24850,95,371,4331,0,1232,619,3479,688,431,712793,9356,50167,473,32213,745
Tultepec,4911,1606,1334,4367,227,432,370,0,319,128,788,232,2032,7473,3711,925,0,128,2600,33365,19323,0,0,226,11862,144,0,178,7783,4676,516,130,0,141,1605,0,466,328,1135,296,0,10054,189940,39007,1437,8733,64
Tultitlan,14281,2447,698,9685,1825,2669,605,0,817,0,1468,224,3619,16636,11366,2780,342,115,8658,38817,49094,110,0,725,21620,2823,421,428,39785,18216,3028,1210,0,122,2771,0,4134,393,2794,59,334,54023,38648,514012,2391,38521,226
Zumpango,1268,1450,0,1403,178,0,0,0,152,270,0,0,210,2804,851,532,2704,9870,0,1265,5305,0,0,127,5038,7919,0,0,621,2949,492,189,0,0,26900,0,1881,297,1179,370,0,639,1256,2507,217081,3226,0
Cuautitlan Izcalli,9440,3502,1283,12640,1224,2696,775,0,1842,0,1998,540,3171,13762,14063,1796,98,398,31500,6995,49574,196,462,222,5918,6085,1141,98,2412,20462,1465,24642,128,469,1194,0,3531,1064,21552,308,0,33285,8727,39114,2500,677725,128
Valle de Chalco Solidaridad,2101,4319,1208,3453,6012,22483,627,1630,2041,8000,2869,969,6267,18053,7882,10264,0,0,0,85,546,23581,107,3796,756,0,504,24293,0,2101,8965,0,855,5182,373,1294,121,0,0,214,0,739,64,329,0,128,490052
